STATUS;ORBITAL_PERIOD_DAYS;TRANSIT_DURATION_HOURS;TRANSIT_DEPTH_PPM;PLANET_RADIUS_REARTH;PLANET_INSOLATION_EFLUX;PLANET_EQ_TEMP_K;STELLAR_TEFF_K;STELLAR_LOGG_CMS2;STELLAR_RADIUS_RSUN
1;7.41;2.52;620.5;2.45;158.11;905.0;5849.0;4.52;0.92
0;1.0;1.0;1823.5;4.14;1635.2;1620.0;5472.0;4.5;0.79
1;8.88;2.07;16053.0;10.51;83.21;770.0;5332.0;4.5;0.84
1;8.1;4.2;6911.1;8.95;223.19;986.0;6214.0;4.44;1.08
1;10.01;5.34;936.1;3.52;139.21;876.0;6063.0;4.47;1.0
1;17.86;7.41;9065.2;13.16;163.04;911.0;6823.0;4.31;1.37
1;12.73;2.21;6465.7;4.87;8.22;432.0;3950.0;4.72;0.54
1;83.92;6.79;7958.7;4.78;0.62;226.0;3960.0;4.75;0.51
1;5.01;4.24;6932.3;6.96;234.28;998.0;5865.0;4.56;0.83
1;2.21;1.65;724.2;1.85;177.19;931.0;4500.0;4.66;0.65
1;27.95;3.95;942.5;1.9;6.04;400.0;4500.0;4.66;0.65
1;12.69;3.77;252.1;2.57;244.3;1008.0;5869.0;4.02;1.63
0;4.41;3.86;12861.0;10.95;347.06;1101.0;5600.0;4.37;0.98
1;16.24;4.04;2590.7;4.14;30.14;598.0;5191.0;4.56;0.84
1;6.31;2.98;1328.5;2.96;106.44;819.0;5191.0;4.56;0.84
1;2.05;2.08;14281.0;13.12;1183.18;1497.0;5855.0;4.39;1.08
1;9.77;2.45;1897.8;2.23;10.59;460.0;3906.0;4.73;0.51
1;5.17;2.15;1037.4;1.66;24.75;569.0;3906.0;4.73;0.51
1;21.22;6.51;366.0;2.48;83.56;771.0;5945.0;4.21;1.3
1;20.09;4.15;1432.1;2.25;4.05;362.0;3906.0;4.73;0.51
1;7.11;2.18;807.6;1.16;8.01;429.0;3561.0;4.86;0.41
1;3.31;1.82;509.2;0.91;22.19;554.0;3561.0;4.86;0.41
1;15.37;2.47;756.1;1.11;2.86;332.0;3561.0;4.86;0.41
1;13.81;3.05;1309.7;4.56;113.75;833.0;5942.0;4.33;1.14
1;4.09;2.58;538.6;2.85;461.07;1182.0;6077.0;4.47;1.0
1;105.15;8.59;685.4;3.43;6.09;401.0;6077.0;4.47;1.0
1;10.85;3.0;1675.6;2.34;14.66;499.0;4201.0;4.68;0.59
1;6.67;1.92;362.3;1.18;28.06;587.0;4201.0;4.68;0.59
1;4.08;3.23;17859.0;10.55;251.48;1016.0;5655.0;4.58;0.79
1;3.89;3.16;581.6;1.87;246.29;1010.0;5662.0;4.61;0.74
1;42.14;5.08;895.5;1.85;3.49;349.0;4500.0;4.66;0.65
1;4.62;2.26;575.8;1.62;66.47;728.0;4500.0;4.66;0.65
1;10.2;2.43;634.1;1.75;23.11;559.0;4500.0;4.66;0.65
0;5.8;3.25;1692.9;4.33;192.74;950.0;5865.0;4.56;0.83
1;7.16;2.59;867.0;2.47;88.23;782.0;5029.0;4.49;0.84
1;17.65;2.09;763.3;2.43;26.49;579.0;5029.0;4.49;0.84
1;4.15;2.54;175.2;1.08;182.76;938.0;5029.0;4.49;0.84
1;16.51;4.16;973.5;2.72;43.57;655.0;5527.0;4.49;0.87
1;30.13;5.17;1015.8;3.14;19.55;536.0;5527.0;4.49;0.87
1;4.79;2.6;251.3;1.36;227.24;990.0;5527.0;4.49;0.87
1;31.72;4.82;363.4;3.09;71.97;743.0;5869.0;4.02;1.63
1;99.64;4.45;952.5;2.64;3.97;360.0;5527.0;4.49;0.87
1;4.71;3.16;7912.7;10.6;431.02;1162.0;5560.0;4.25;1.21
1;5.39;2.98;1151.4;2.68;123.33;850.0;5198.0;4.59;0.8
1;2.49;1.12;863.7;2.42;480.19;1194.0;5569.0;4.57;0.83
1;6.49;4.3;7163.3;9.66;301.54;1062.0;6123.0;4.41;1.11
0;3.04;10.01;1695.0;24.54;317.36;1076.0;5525.0;4.6;0.75
1;3.86;3.22;16653.0;13.61;508.65;1212.0;6033.0;4.46;1.05
0;3.86;3.18;1030.9;3.57;425.74;1158.0;5936.0;4.5;0.96
1;38.48;5.04;23530.0;13.26;13.01;484.0;5510.0;4.54;0.88
0;37.6;8.31;59130.0;27.22;31.86;606.0;6140.0;4.35;1.1
1;3.31;1.8;1398.2;3.94;421.03;1155.0;5609.0;4.48;0.94
0;6.72;3.02;969.7;4.37;194.18;952.0;5931.0;4.48;0.87
1;39.64;6.53;15664.0;10.98;11.74;472.0;5231.0;4.46;0.9
0;51.43;16.94;66068.0;29.66;21.4;549.0;6257.0;4.41;1.15
1;21.8;3.41;1144.9;2.6;20.48;543.0;5481.0;4.63;0.71
1;10.28;3.44;1110.7;2.53;50.6;680.0;5196.0;4.59;0.78
1;18.12;4.23;1506.9;2.95;23.77;563.0;5196.0;4.59;0.78
1;3.78;1.9;426.1;1.7;191.78;949.0;5196.0;4.59;0.78
1;5.15;3.23;697.5;2.94;204.1;964.0;5431.0;4.46;0.88
0;33.8;11.48;13494.0;20.7;72.71;745.0;5855.0;4.0;1.8
1;5.74;3.44;1240.2;3.13;219.95;982.0;5897.0;4.53;0.89
1;39.48;2.97;1012.6;4.06;26.13;577.0;6225.0;4.45;1.03
0;19.97;4.23;40293.0;26.56;56.84;700.0;6108.0;4.47;1.0
1;3.17;3.31;1473.4;3.82;621.92;1273.0;6007.0;4.47;1.0
1;3.39;2.68;280.1;2.11;705.93;1315.0;5553.0;4.22;1.25
1;5.84;3.19;273.6;2.06;341.48;1097.0;5553.0;4.22;1.25
1;1.62;2.19;159.6;1.57;1893.42;1681.0;5553.0;4.22;1.25
1;10.68;3.6;307.8;2.3;152.75;897.0;5553.0;4.22;1.25
1;6.1;4.69;2090.3;3.18;89.25;784.0;5085.0;4.58;0.71
1;3.58;2.91;11382.0;10.43;406.6;1145.0;5524.0;4.42;0.99
0;3.19;3.12;1037.4;23.88;319.76;1079.0;5450.0;4.55;0.81
1;5.83;2.92;1539.1;4.09;248.57;1013.0;5561.0;4.36;1.06
1;12.41;3.74;611.3;2.58;90.65;787.0;5561.0;4.36;1.06
1;18.75;3.9;796.8;3.05;52.38;686.0;5561.0;4.36;1.06
1;20.86;5.19;1910.5;5.5;87.76;781.0;6035.0;4.22;1.26
1;42.63;6.2;1719.3;5.22;33.82;615.0;6035.0;4.22;1.26
1;87.65;8.87;1009.6;4.0;12.94;484.0;6035.0;4.22;1.26
1;9.62;3.87;234.0;1.94;246.13;1010.0;6035.0;4.22;1.26
