STATUS;ORBITAL_PERIOD_DAYS;TRANSIT_DURATION_HOURS;TRANSIT_DEPTH_PPM;PLANET_RADIUS_REARTH;PLANET_INSOLATION_EFLUX;PLANET_EQ_TEMP_K;STELLAR_TEFF_K;STELLAR_LOGG_CMS2;STELLAR_RADIUS_RSUN
CP;3.3088922;6.114;4736.0;24.9862;17074.7;3184.0;6188.0;4.27166;2.62
CP;25.0571312;7.5424225;533.486013;3.2396838;53.1389289;688.6094029;5696.0;4.26563;1.15281
CP;24.2454967;3.3725583;6260.6703602;3.878568;0.05273;122.2177444;3535.0;4.84874;0.465271
PC;14.2545623;4.7250029;7899.6939555;10.7048234;90.0658585;785.7055082;5739.0;4.28235;1.09597
CP;14.1758947;3.7543827;907.1324529;2.6231641;53.8795095;690.9961983;5723.87;4.438;0.864173
CP;19.5901578;4.002861;1182.6678641;3.0026428;35.0031418;620.3638839;5723.87;4.438;0.864173
CP;6.2036219;3.01098;548.9044399;2.056748;162.1675094;910.1452592;5723.87;4.438;0.864173
CP;3.79589;2.4602856;317.5272928;1.553135;312.1807495;1072.0653989;5723.87;4.438;0.864173
FP;2.2645386;3.8193701;15019.9420903;5.1936764;34.1873897;616.7174475;3443.0;4.81617;0.411471
CP;3.4447015;1.912;796.0;2.00495;231.437;1086.0;3912.0;4.62642;0.63
KP;3.0300715;2.5466671;21794.6136956;12.7529892;318.4581858;1077.4145935;5242.82;4.52404;0.857369
KP;12.72038;2.401;1070.0;4.96046;41.1042;705.0;6212.0;4.17664;1.48
KP;6.238755;3.6178567;373.5681138;2.9728283;587.1290759;1255.4607699;6212.0;4.17664;1.47768
CP;3.2947689;1.7483103;1324.0402774;2.5248559;56.9377632;700.5995436;3853.0;4.63168;0.62326
CP;0.7645807;1.07057;394.9832006;1.2407226;399.2723837;1140.0845694;3853.0;4.63168;0.62326
CP;12.6396982;3.3830702;3292.6812864;4.6025162;39.6563977;640.0266601;5217.0;4.59186;0.789425
APC;1.8428078;1.449;1950.0;21.2705;1687.83;1785.0;5080.0;4.48159;4.09
KP;1.7208555;1.8346409;10014.2587401;13.4646314;2259.3896676;1758.3994294;5832.83;4.20893;1.33402
PC;4.7802597;1.4588658;1015.4550043;7.6126429;1770.0151344;1654.2989516;5826.0;3.7213;2.3387201
PC;0.3814849;0.565;570.0;2.0605;931.396;1539.0;4255.0;4.55641;0.71
